Actual Price,Predicted Price
4.54e-06,1.49261305e-05
4.4e-06,1.49261305e-05
4.22e-06,1.49261305e-05
4.15e-06,1.49261305e-05
4.06e-06,1.49261305e-05
4.14e-06,1.49261305e-05
4.14e-06,1.49261305e-05
4.18e-06,1.49261305e-05
4.18e-06,1.49261305e-05
4.07e-06,1.49261305e-05
4.1e-06,1.49261305e-05
4.11e-06,1.49261305e-05
4.14e-06,1.49261305e-05
4.11e-06,1.49261305e-05
4.08e-06,1.49261305e-05
4.11e-06,1.49261305e-05
4.13e-06,1.49261305e-05
4.01e-06,1.49261305e-05
3.89e-06,1.49261305e-05
3.95e-06,1.49261305e-05
3.99e-06,1.49261305e-05
4.21e-06,1.49261305e-05
4.11e-06,1.49261305e-05
4.08e-06,1.49261305e-05
3.96e-06,1.49261305e-05
4e-06,1.49261305e-05
3.73e-06,1.49261305e-05
3.73e-06,1.49261305e-05
3.78e-06,1.49261305e-05
3.71e-06,1.49261305e-05
3.63e-06,1.49261305e-05
3.59e-06,1.49261305e-05
3.49e-06,1.49261305e-05
3.51e-06,1.49261305e-05
3.46e-06,1.49261305e-05
3.36e-06,1.49261305e-05
3.34e-06,1.49261305e-05
3.4e-06,1.49261305e-05
3.48e-06,1.49261305e-05
3.47e-06,1.49261305e-05
3.48e-06,1.49261305e-05
3.6e-06,1.49261305e-05
3.57e-06,1.49261305e-05
3.47e-06,1.49261305e-05
3.46e-06,1.49261305e-05
3.2e-06,1.49261305e-05
3.13e-06,1.49261305e-05
3.16e-06,1.49261305e-05
3.5e-06,1.49261305e-05
3.31e-06,1.49261305e-05
3.68e-06,1.49261305e-05
3.66e-06,1.49261305e-05
3.4e-06,1.49261305e-05
3.42e-06,1.49261305e-05
3.59e-06,1.49261305e-05
3.85e-06,1.49261305e-05
4.05e-06,1.49261305e-05
4.11e-06,1.49261305e-05
4.25e-06,1.49261305e-05
4.49e-06,1.49261305e-05
4.36e-06,1.49261305e-05
4.38e-06,1.49261305e-05
4.6e-06,1.49261305e-05
4.57e-06,1.49261305e-05
5.09e-06,1.49261305e-05
5.34e-06,1.49261305e-05
5.3e-06,1.49261305e-05
5.26e-06,1.49261305e-05
5.48e-06,1.49261305e-05
5.34e-06,1.49261305e-05
6.2e-06,1.49261305e-05
4.89e-06,1.49261305e-05
4.48e-06,1.49261305e-05
4.87e-06,1.49261305e-05
5.16e-06,1.49261305e-05
5.02e-06,1.49261305e-05
4.73e-06,1.49261305e-05
4.78e-06,1.49261305e-05
4.63e-06,1.49261305e-05
4.42e-06,1.49261305e-05
4.21e-06,1.49261305e-05
3.93e-06,1.49261305e-05
4.06e-06,1.49261305e-05
3.9e-06,1.49261305e-05
3.99e-06,1.49261305e-05
4.25e-06,1.49261305e-05
4.24e-06,1.49261305e-05
4.19e-06,1.49261305e-05
4.09e-06,1.49261305e-05
4.13e-06,1.49261305e-05
4.33e-06,1.49261305e-05
4.19e-06,1.49261305e-05
4.23e-06,1.49261305e-05
4.09e-06,1.49261305e-05
4.15e-06,1.49261305e-05
4.15e-06,1.49261305e-05
4.31e-06,1.49261305e-05
4.34e-06,1.49261305e-05
4.38e-06,1.49261305e-05
4.28e-06,1.49261305e-05
4.04e-06,1.49261305e-05
4.03e-06,1.49261305e-05
4.17e-06,1.49261305e-05
4.14e-06,1.49261305e-05
4.08e-06,1.49261305e-05
4.01e-06,1.49261305e-05
3.87e-06,1.49261305e-05
3.88e-06,1.49261305e-05
3.88e-06,1.49261305e-05
3.8e-06,1.49261305e-05
3.83e-06,1.49261305e-05
3.57e-06,1.49261305e-05
3.32e-06,1.49261305e-05
3.32e-06,1.49261305e-05
3.27e-06,1.49261305e-05
3.16e-06,1.49261305e-05
3.05e-06,1.49261305e-05
2.91e-06,1.49261305e-05
2.99e-06,1.49261305e-05
3.03e-06,1.49261305e-05
3e-06,1.49261305e-05
2.92e-06,1.49261305e-05
2.9e-06,1.49261305e-05
2.98e-06,1.49261305e-05
3.04e-06,1.49261305e-05
2.93e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.7e-06,1.49261305e-05
2.67e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.6e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.69e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.8e-06,1.49261305e-05
2.84e-06,1.49261305e-05
2.79e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.8e-06,1.49261305e-05
2.82e-06,1.49261305e-05
2.78e-06,1.49261305e-05
2.75e-06,1.49261305e-05
2.74e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.78e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.87e-06,1.49261305e-05
2.87e-06,1.49261305e-05
2.9e-06,1.49261305e-05
2.85e-06,1.49261305e-05
2.82e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.6e-06,1.49261305e-05
2.59e-06,1.49261305e-05
2.59e-06,1.49261305e-05
2.58e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.67e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.37e-06,1.49261305e-05
2.36e-06,1.49261305e-05
2.41e-06,1.49261305e-05
2.37e-06,1.49261305e-05
2.43e-06,1.49261305e-05
2.39e-06,1.49261305e-05
2.44e-06,1.49261305e-05
2.48e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.46e-06,1.49261305e-05
2.43e-06,1.49261305e-05
2.5e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.46e-06,1.49261305e-05
2.47e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.44e-06,1.49261305e-05
2.35e-06,1.49261305e-05
2.29e-06,1.49261305e-05
2.29e-06,1.49261305e-05
2.27e-06,1.49261305e-05
2.3e-06,1.49261305e-05
2.22e-06,1.49261305e-05
2.24e-06,1.49261305e-05
2.23e-06,1.49261305e-05
2.22e-06,1.49261305e-05
2.09e-06,1.49261305e-05
2.05e-06,1.49261305e-05
2.01e-06,1.49261305e-05
2.08e-06,1.49261305e-05
2.09e-06,1.49261305e-05
2.05e-06,1.49261305e-05
2.08e-06,1.49261305e-05
2.04e-06,1.49261305e-05
2.01e-06,1.49261305e-05
1.99e-06,1.49261305e-05
1.95e-06,1.49261305e-05
